Source,12_19,12_LM,12_OW,16_24,16_CC,19_MA,24_GP,AS_BK,AS_MA,BF_CV,BF_HY,BF_SL,BK_NB,BP_DC,BP_GP,CC_PL,CL_FV,CL_SL,CM_DC,CM_SS,CN_NC,CN_PH,CV_ED,EM_MT,EM_OW,EN_EP,EN_RM,EP_NB,FM_UC,FV_LM,HY_SH,LF_OR,LF_WC,LM_OW,MA_RR,MB_SB,MB_SO,MT_PL,NC_WP,OR_RR,PH_WC,SB_SO,SB_SS,SH_UC
RM,2619,493,2414,431,559,2775,301,3228,3117,30,116,184,3647,193,259,824,336,231,133,118,52,84,22,1530,1895,3839,3976,3739,34,444,77,145,128,0,177,40,0,1186,46,157,100,39,106,51
EN,5851,923,5248,747,922,6331,566,6996,6858,46,244,352,7946,399,507,1524,642,423,273,238,57,100,36,3252,4279,8134,123,8040,94,798,168,179,165,0,226,57,0,2274,50,195,119,98,208,133
EP,3027,404,2750,293,391,3259,234,3614,3534,29,98,145,4310,168,207,718,264,173,123,117,18,42,23,1670,2329,207,98,4375,49,332,74,103,89,0,149,26,0,1062,15,111,57,72,109,64
NB,3522,416,3267,390,544,3729,286,4016,3956,27,95,149,4217,203,243,908,269,175,170,162,17,36,18,1986,2835,195,96,254,34,351,66,98,85,0,131,35,0,1330,11,108,53,107,154,53
BK,8601,2095,8083,1241,1621,9096,934,10681,10358,217,726,1087,2185,679,794,2283,1547,1263,543,506,157,295,156,4421,5887,1319,401,2000,345,1852,590,698,607,0,836,185,0,3396,104,764,453,247,476,496
AS,4065,639,3818,434,668,4303,293,783,4590,38,189,270,409,191,246,1104,437,312,141,131,39,73,26,2284,3140,267,109,350,77,557,145,148,136,0,177,32,0,1542,30,160,96,75,123,118
MA,6777,1296,6547,850,1231,6947,588,1157,1259,90,421,645,685,395,496,1992,1012,772,305,276,266,405,59,3953,5188,454,164,589,150,1209,298,734,680,0,854,72,0,2796,222,783,532,141,250,236
19,7566,2073,7518,1075,1450,3696,782,1580,1816,252,894,1368,1046,518,635,2139,1843,1591,372,307,409,685,177,4024,5369,608,146,842,356,2025,690,1419,1271,0,1694,102,0,2921,244,1517,997,95,246,549
12,4275,2775,8621,1288,1594,4222,1005,1911,2163,339,1072,1748,1333,679,843,2283,2469,2083,510,409,447,744,231,4267,5729,807,190,1088,360,2722,766,1486,1327,0,1815,127,0,3162,301,1598,1049,129,334,587
LM,1019,4524,0,471,674,968,345,582,659,283,563,1092,319,194,287,1116,1623,1348,98,88,57,92,175,2493,3410,180,50,252,182,1792,401,170,157,3454,216,20,0,1691,44,180,120,39,75,299
FV,1489,6112,0,648,900,1322,431,701,814,196,608,1091,399,265,371,1589,1683,1344,150,136,77,133,128,3261,4277,258,100,323,162,6281,356,235,213,4402,319,30,0,2344,64,263,167,61,126,253
CL,2045,5479,0,548,686,1831,413,787,908,524,844,1669,496,270,348,1111,6111,1902,168,151,192,301,408,2232,2947,311,99,403,314,5766,597,575,514,3066,694,33,0,1699,141,613,398,62,128,472
SL,891,4029,0,325,420,681,247,341,383,146,476,744,161,155,216,797,4533,4762,94,82,52,95,97,1912,2782,111,48,135,130,4288,298,153,141,2823,182,19,0,1242,41,160,115,40,73,216
BF,810,3687,0,271,360,596,202,293,334,288,721,4655,145,135,180,695,4224,4519,72,61,36,65,209,1735,2485,103,41,123,254,3935,516,106,101,2541,131,11,0,1130,28,111,78,23,53,401
HY,830,3051,0,219,299,635,168,313,355,108,4193,3900,166,103,141,549,3473,3725,58,51,50,87,76,1310,1870,112,37,135,337,3220,624,138,127,1903,158,7,0,838,42,144,108,23,40,510
SH,508,2188,0,160,220,363,119,183,210,72,2810,2620,85,81,107,415,2404,2542,40,33,22,40,45,991,1474,61,26,72,201,2296,2934,72,70,1492,85,4,0,631,17,74,54,14,25,278
UC,641,3341,0,168,236,454,141,236,272,82,4011,3794,84,99,127,478,3551,3716,50,42,28,43,61,1496,2451,54,15,67,191,3461,4185,81,76,2467,96,4,0,799,21,85,59,22,34,4256
FM,1326,6255,0,278,381,967,232,531,598,137,7428,7050,204,168,204,743,6594,6923,88,80,49,86,102,2636,4542,123,31,171,8131,6435,7755,165,152,4564,213,7,0,1305,38,178,123,58,74,7936
CN,4054,405,3762,472,562,4328,397,262,291,21,101,152,113,308,361,948,309,195,226,197,426,5487,13,2288,3336,71,30,95,36,364,68,4888,5018,0,4760,25,0,1388,366,4845,5378,116,173,50
PH,5455,305,5146,483,579,5780,423,229,252,12,86,111,70,333,377,990,237,133,256,239,180,295,8,2913,4825,38,15,52,36,273,62,6299,6358,0,6160,20,0,1492,137,6268,6499,171,220,50
WC,4820,357,4556,507,586,5085,444,280,314,18,82,121,128,350,391,913,269,149,282,258,334,655,10,2528,4180,66,22,97,30,321,60,5757,5826,0,5542,32,0,1416,264,5712,787,180,234,48
LF,2882,149,2723,217,266,3030,182,150,161,5,28,39,54,151,166,469,113,51,125,120,58,170,3,1485,2569,28,15,40,12,135,18,3351,280,0,3247,11,0,732,44,3331,215,94,115,17
OR,2314,126,2206,192,229,2413,165,109,120,3,26,37,45,131,146,401,83,44,109,103,31,70,2,1225,2074,25,12,33,13,114,21,159,142,0,2577,8,0,592,24,2643,97,82,97,17
RR,4623,296,4445,481,682,4783,360,172,188,21,71,108,110,260,300,1176,208,131,215,208,85,174,14,2803,4118,50,17,88,35,261,57,546,460,0,5042,23,0,1693,56,613,280,164,200,46
OW,556,0,1173,563,825,480,379,218,259,31,92,176,109,238,324,1472,328,216,174,157,47,69,23,3598,5336,72,26,91,23,455,58,109,104,510,147,27,0,2321,39,114,83,90,145,40
EM,14681,0,25166,8756,9864,13627,7319,3827,4514,2274,3422,6323,2584,4859,6201,10354,7706,7022,3628,2852,1172,2047,1747,11241,26676,1243,313,1813,1706,8567,2957,5994,5018,9355,8033,1034,0,11113,671,6784,3614,652,2247,2557
MT,14034,0,23150,10134,11459,12944,8352,3733,4440,1772,2764,5104,2679,5347,7002,11899,6323,5770,3919,3077,1082,1966,1328,24472,24349,1323,305,1942,1315,7205,2325,5427,4593,8010,7374,1194,0,12192,634,6118,3394,641,2400,1990
PL,9775,0,16793,12112,13895,8936,9916,3576,4068,1005,1652,3192,2327,5528,8499,14235,4382,3739,4017,3237,841,1383,724,18251,17705,1413,427,1837,659,5301,1312,2946,2620,5993,3877,785,0,18434,573,3182,2005,1465,2731,1058
CC,8009,0,13405,6163,6961,7169,5022,2689,3167,762,1142,2266,1856,2999,4352,15436,3204,2717,2284,1817,771,1220,541,14598,14078,1042,296,1412,399,3955,866,2314,2080,4495,3120,474,0,15058,535,2522,1683,657,1465,653
16,2858,0,4531,2525,9519,2475,2233,1017,1259,174,320,593,614,1210,1873,8784,847,703,922,772,202,300,127,5865,4796,348,140,453,105,1130,240,552,499,1355,815,247,0,7251,148,595,406,275,661,177
24,2147,0,3400,10719,10426,1845,2257,860,998,106,175,357,519,1222,1946,9333,583,443,921,754,159,247,77,5252,3567,349,146,410,47,814,119,419,385,951,577,236,0,7408,122,444,312,257,653,76
GP,1000,0,1597,6939,6565,849,7240,338,384,67,87,181,185,540,675,5830,289,224,459,392,79,120,52,2897,1649,115,42,143,33,353,61,269,247,420,371,152,0,4597,62,296,194,126,357,48
BP,992,0,1805,10601,9874,864,11317,389,439,80,133,262,264,849,11456,8404,402,323,687,542,99,156,67,3397,1879,188,71,227,38,519,89,261,245,624,320,168,0,5974,77,279,201,118,443,66
DC,1156,0,2097,7323,7050,1009,7603,414,463,133,211,409,267,7823,7679,6345,568,471,728,679,124,210,110,3436,2150,188,59,232,79,672,169,386,362,766,451,258,0,5044,84,407,291,200,610,128
CM,336,0,565,3667,3503,272,3838,102,112,24,32,68,64,4044,3904,3025,95,78,4099,314,36,65,22,1381,578,50,14,56,10,110,26,115,110,119,127,117,0,2342,26,120,83,101,293,18
CV,244,2013,0,115,159,172,85,91,104,2545,110,2365,28,59,74,355,2188,2312,36,33,5,13,125,1047,1652,14,6,20,35,2122,81,28,27,1660,38,5,0,590,4,30,17,19,28,56
ED,585,5993,0,512,636,409,431,254,278,7308,285,6821,93,319,381,1132,6296,6727,210,188,16,28,7419,3104,5143,54,19,75,104,6168,209,50,47,5168,67,21,0,1780,13,53,38,124,164,169
NC,2065,135,1907,213,261,2235,176,77,86,3,31,41,23,140,162,469,109,52,99,89,2586,2525,2,1176,1764,13,5,18,11,122,22,2398,2413,0,2367,11,0,703,70,2391,2490,58,81,17
WP,3963,487,3661,546,687,4203,443,225,257,17,125,172,119,322,394,1129,367,217,240,214,5544,5175,12,2303,3136,90,44,105,40,434,78,4742,4790,0,4667,31,0,1602,5604,4721,5049,119,191,62
SS,311,0,512,2818,2700,245,2918,92,99,27,31,67,60,3053,2956,2350,100,77,3123,3142,34,57,24,1158,526,44,11,53,6,112,21,107,101,124,118,62,0,1912,26,111,77,44,155,12
SB,403,0,656,2722,2582,356,2868,139,153,24,32,73,96,3085,2939,2274,116,86,3229,3300,49,84,19,1253,680,75,27,85,8,151,21,143,134,167,163,70,0,1855,39,150,112,60,3344,14
SO,1809,0,2460,6532,6257,1732,6769,578,648,155,125,307,317,6996,6889,5567,414,350,7191,7285,169,287,134,3189,2529,135,38,207,62,481,101,711,619,515,949,330,0,3805,117,791,438,7717,7324,88
MB,727,0,1039,5010,4760,624,5261,337,371,29,26,67,160,5564,5409,4263,126,88,5812,5927,46,75,23,2176,1066,98,35,124,8,154,18,146,133,174,181,6454,394,3501,35,156,96,0,5987,12
