Source,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB
RM,0,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
EN,EN_RM,0,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
EP,EN_RM,EN_EP,0,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
NB,EN_RM,EN_EP,EP_NB,0,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
BK,EN_RM,EN_EP,EP_NB,BK_NB,0,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
AS,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,0,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
MA,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,0,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
19,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,0,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
12,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,0,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
LM,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,0,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
FV,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,0,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
CL,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,0,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
SL,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,0,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
BF,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,0,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
HY,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,0,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
SH,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,0,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
UC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,0,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
FM,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,0,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
CN,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,0,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
PH,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,0,PH_WC,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
WC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,0,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
LF,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,0,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
OR,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,0,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
RR,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,0,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
OW,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,0,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
EM,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,0,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
MT,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,0,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
PL,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,0,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
CC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,0,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
16,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,0,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
24,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,0,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
GP,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,0,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
BP,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,0,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
DC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,0,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
CM,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,0,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
CV,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_CV,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,0,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
ED,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_CV,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CV_ED,0,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
NC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_NC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,0,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB
WP,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_NC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,NC_WP,0,CM_SS,SB_SS,SB_SO,MB_SB
SS,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,0,SB_SS,SB_SO,MB_SB
SB,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,SB_SS,0,SB_SO,MB_SB
SO,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,SB_SS,SB_SO,0,MB_SB
MB,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,SB_SS,MB_SB,MB_SO,0