Station Code,HOME ORIGIN STATIONS
12,12th St. / Oakland City Center
16,16th St. Mission
19,19th St. / Oakland
24,24th St. Mission
AS,Ashby
BP,Balboa Park
BF,Bay Fair
CV,Castro Valley
CC,Civic Center / UN Plaza
CL,Coliseum / Oakland Airport
CM,Colma
CN,Concord
DC,Daly City
BK,Downtown Berkeley
ED,Dublin / Pleasanton
EN,El Cerrito del Norte
EP,El Cerrito Plaza
EM,Embarcadero
FM,Fremont
FV,Fruitvale
GP,Glen Park
HY,Hayward
LF,Lafayette
LM,Lake Merritt
MA,MacArthur
MB,Millbrae
MT,Montgomery St.
NB,North Berkeley
NC,North Concord / Martinez
OR,Orinda
WP,Pittsburg / Bay Point
PH,Pleasant Hill
PL,Powell St.
RM,Richmond
RR,Rockridge
SB,San Bruno
SL,San Leandro
SH,South Hayward
SS,South San Francisco
UC,Union City
WC,Walnut Creek
OW,West Oakland