st_id,x_axis,y_axis,radius,color
RM,468,157,4,black
EN,481,173,4,black
EP,503,199,4,black
NB,525,230,4,black
BK,543,254,4,black
AS,560,276,4,black
MA,574,325,4,black
19,573,352,4,black
12,569,376,4,black
LM,600,467,4,black
FV,631,998,4,black
CL,665,532,4,black
SL,694,564,4,black
BF,728,600,4,black
HY,793,671,4,black
SH,837,735,4,black
UC,895,795,4,black
FM,954,835,4,black
CN,895,117,4,black
PH,842,149,4,black
WC,786,183,4,black
LF,730,219,4,black
OR,675,249,4,black
RR,623,280,4,black
OW,502,400,4,black
EM,410,464,4,black
MT,400,475,4,black
PL,388,491,4,black
CC,379,506,4,black
16,366,524,4,black
24,352,542,4,black
GP,340,561,4,black
BP,320,577,4,black
DC,306,593,4,black
CM,301,622,4,black
CV,832,611,4,black
ED,936,611,4,black
NC,954,83,4,black
WP,1008,50,4,black
SS,323,649,4,black
SB,347,690,4,black
SO,405,729,4,black
MB,414,766,4,black